Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
28-Feb-2022,08:10,"22,713.02",+12.37,+0.05%,"22,713.02","22,713.02","22,713.02","612,260,300"
28-Feb-2022,08:05,"22,700.65",+1.02,+0.00%,"22,700.65","22,700.65","22,700.65","662,900"
28-Feb-2022,08:00,"22,699.63",-33.81,-0.15%,"22,731.68","22,692.47","22,743.10","60,770,420"
28-Feb-2022,07:55,"22,733.44",+81.07,+0.36%,"22,649.84","22,649.84","22,733.44","73,562,285"
28-Feb-2022,07:50,"22,652.37",+22.94,+0.10%,"22,628.88","22,623.49","22,657.47","54,643,238"
28-Feb-2022,07:45,"22,629.43",+1.62,+0.01%,"22,626.73","22,615.29","22,640.65","33,005,977"
28-Feb-2022,07:40,"22,627.81",-9.09,-0.04%,"22,639.96","22,625.82","22,657.67","35,503,096"
28-Feb-2022,07:35,"22,636.90",+23.97,+0.11%,"22,610.68","22,606.56","22,642.93","43,255,865"
28-Feb-2022,07:30,"22,612.93",+10.34,+0.05%,"22,602.02","22,595.14","22,622.18","22,368,350"
28-Feb-2022,07:25,"22,602.59",+13.34,+0.06%,"22,591.99","22,584.93","22,610.03","29,706,623"
28-Feb-2022,07:20,"22,589.25",-21.87,-0.10%,"22,606.31","22,586.25","22,632.60","51,762,744"
28-Feb-2022,07:15,"22,611.12",+0.82,+0.00%,"22,608.39","22,594.71","22,613.36","28,428,218"
28-Feb-2022,07:10,"22,610.30",-50.82,-0.22%,"22,663.58","22,610.30","22,665.45","25,661,251"
28-Feb-2022,07:05,"22,661.12",+83.60,+0.37%,"22,575.97","22,572.56","22,661.31","64,155,768"
28-Feb-2022,07:00,"22,577.52",+2.99,+0.01%,"22,573.35","22,571.48","22,596.78","49,979,755"
28-Feb-2022,06:55,"22,574.53",-18.16,-0.08%,"22,593.95","22,567.34","22,595.63","27,315,253"
28-Feb-2022,06:50,"22,592.69",+0.37,+0.00%,"22,590.48","22,589.51","22,611.64","21,633,483"
28-Feb-2022,06:45,"22,592.32",+25.22,+0.11%,"22,566.58","22,556.75","22,594.83","33,140,385"
28-Feb-2022,06:40,"22,567.10",+15.62,+0.07%,"22,551.41","22,545.56","22,569.25","24,266,490"
28-Feb-2022,06:35,"22,551.48",-13.37,-0.06%,"22,564.25","22,548.86","22,565.84","15,893,400"
28-Feb-2022,06:30,"22,564.85",-2.36,-0.01%,"22,567.68","22,554.83","22,580.73","44,617,935"
28-Feb-2022,06:25,"22,567.21",-9.53,-0.04%,"22,576.66","22,551.55","22,583.65","15,749,367"
28-Feb-2022,06:20,"22,576.74",-3.89,-0.02%,"22,582.46","22,564.63","22,585.94","25,283,170"
28-Feb-2022,06:15,"22,580.63",-4.36,-0.02%,"22,585.26","22,578.02","22,599.39","17,771,163"
28-Feb-2022,06:10,"22,584.99",+13.59,+0.06%,"22,571.66","22,563.84","22,588.28","14,110,965"
28-Feb-2022,06:05,"22,571.40",+19.80,+0.09%,"22,549.67","22,537.53","22,580.84","17,269,593"
28-Feb-2022,06:00,"22,551.60",-8.15,-0.04%,"22,559.72","22,548.34","22,580.89","20,735,716"
28-Feb-2022,05:55,"22,559.75",-7.93,-0.04%,"22,568.91","22,539.43","22,570.75","27,712,971"
28-Feb-2022,05:50,"22,567.68",+15.35,+0.07%,"22,551.59","22,550.18","22,580.14","22,158,042"
28-Feb-2022,05:45,"22,552.33",-9.09,-0.04%,"22,561.51","22,541.83","22,561.51","16,958,106"
28-Feb-2022,05:40,"22,561.42",-8.93,-0.04%,"22,569.99","22,559.18","22,594.21","21,017,841"
28-Feb-2022,05:35,"22,570.35",+24.68,+0.11%,"22,542.92","22,542.92","22,612.30","55,071,182"
28-Feb-2022,05:30,"22,545.67",+54.20,+0.24%,"22,490.62","22,484.92","22,545.67","50,923,260"
28-Feb-2022,05:25,"22,491.47",+14.23,+0.06%,"22,477.92","22,469.64","22,496.83","25,413,735"
28-Feb-2022,05:20,"22,477.24",-0.51,-0.00%,"22,478.28","22,471.12","22,502.42","54,898,321"
28-Feb-2022,05:15,"22,477.75",+41.42,+0.18%,"22,436.27","22,436.27","22,480.18","26,569,337"
28-Feb-2022,05:10,"22,436.33",-0.66,-0.00%,"22,437.59","22,422.38","22,458.06","21,045,852"
28-Feb-2022,05:05,"22,436.99",-15.17,-0.07%,"22,442.25","22,432.23","22,455.72","49,167,372"
28-Feb-2022,04:10,"22,452.16",0.00,0.00%,"22,452.16","22,452.16","22,452.16",0
28-Feb-2022,04:05,"22,452.16",+0.57,+0.00%,"22,452.16","22,452.16","22,452.16",0
28-Feb-2022,04:00,"22,451.59",-4.58,-0.02%,"22,459.51","22,446.11","22,467.71","18,752,454"
28-Feb-2022,03:55,"22,456.17",+3.86,+0.02%,"22,454.99","22,452.08","22,466.58","30,629,842"
28-Feb-2022,03:50,"22,452.31",-10.13,-0.05%,"22,463.95","22,448.85","22,470.80","14,826,884"
28-Feb-2022,03:45,"22,462.44",+22.79,+0.10%,"22,443.03","22,443.03","22,481.14","22,348,982"
28-Feb-2022,03:40,"22,439.65",+7.23,+0.03%,"22,434.62","22,433.23","22,450.57","14,086,994"
28-Feb-2022,03:35,"22,432.42",+3.15,+0.01%,"22,428.74","22,414.39","22,434.12","36,581,315"
28-Feb-2022,03:30,"22,429.27",-32.42,-0.14%,"22,459.64","22,423.82","22,471.14","17,083,789"
28-Feb-2022,03:25,"22,461.69",-1.84,-0.01%,"22,464.95","22,433.97","22,473.91","27,036,529"
28-Feb-2022,03:20,"22,463.53",+34.70,+0.15%,"22,427.95","22,423.90","22,477.63","25,612,813"
28-Feb-2022,03:15,"22,428.83",-4.53,-0.02%,"22,434.03","22,410.27","22,442.44","20,144,392"
28-Feb-2022,03:10,"22,433.36",-37.67,-0.17%,"22,469.12","22,433.26","22,474.17","26,204,065"
