date,high,low
02-Nov-2021,25639.66,25030.69
03-Nov-2021,25187.09,24808.59
04-Nov-2021,25244.98,25010.36
05-Nov-2021,25049.37,24724.39
08-Nov-2021,24837.77,24633.57
09-Nov-2021,24956.37,24678.66
10-Nov-2021,25013.11,24481.26
11-Nov-2021,25324.66,24836.21
12-Nov-2021,25527.13,25210.56
15-Nov-2021,25483.26,25230.33
16-Nov-2021,25746.71,25410.87
17-Nov-2021,25667.81,25520.67
18-Nov-2021,25414.21,25222.6
19-Nov-2021,25077.15,24825.43
22-Nov-2021,25099.95,24869.94
23-Nov-2021,24794.72,24618.74
24-Nov-2021,24851.53,24557.63
25-Nov-2021,24762.61,24532.82
26-Nov-2021,24502.68,24062.26
29-Nov-2021,24134.32,23774.31
30-Nov-2021,23888.37,23175.37
